Molekuel,Ansatz_Art,Ansatz_Tiefe,Optimierer,Fehler_Art,Fehler_Rate,Exakte_Energie_Hartree,Berechnete_Energie_Hartree,Optimierer_Schritte,Dauer_Sekunden
H2_2_Qubits,TwoLocal,1,COBYLA,noiseless,0.0,-1.8572750302023775,-1.8602384038868038,48,1.77
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.001,-1.8572750302023775,-1.8524465449862826,58,1.9
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.002,-1.8572750302023775,-1.8541809971897931,53,1.77
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.003,-1.8572750302023775,-1.8516958743371013,53,1.76
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.004,-1.8572750302023775,-1.850839033676912,51,1.73
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.005,-1.8572750302023775,-1.8470369142829628,53,1.72
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.006,-1.8572750302023775,-1.841029248375843,50,1.6
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.007,-1.8572750302023775,-1.8421650475805604,43,1.39
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.008,-1.8572750302023775,-1.8392563604351493,56,1.86
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.009000000000000001,-1.8572750302023775,-1.8349216904904586,54,1.78
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.01,-1.8572750302023775,-1.8345955447477507,53,1.74
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.011,-1.8572750302023775,-1.8293593337082403,64,2.16
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.012,-1.8572750302023775,-1.8284932009294985,50,1.66
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.013000000000000001,-1.8572750302023775,-1.8268113639456849,62,2.12
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.014,-1.8572750302023775,-1.822948007808547,61,2.06
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.015,-1.8572750302023775,-1.8115735846726224,73,2.43
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.016,-1.8572750302023775,-1.817584666740233,53,1.75
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.017,-1.8572750302023775,-1.8194534995596432,45,1.49
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.018000000000000002,-1.8572750302023775,-1.8153231370157787,50,1.65
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.019,-1.8572750302023775,-1.8019796757143038,72,2.38
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.02,-1.8572750302023775,-1.8089976505495011,37,1.25
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.021,-1.8572750302023775,-1.8031799482457522,50,1.68
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.022,-1.8572750302023775,-1.787865256267624,48,1.62
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.023,-1.8572750302023775,-1.7982095350648026,43,1.44
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.024,-1.8572750302023775,-1.8049859519609737,54,1.79
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.025,-1.8572750302023775,-1.801372734748453,54,1.83
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.026000000000000002,-1.8572750302023775,-1.7936165570789264,54,1.87
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.027,-1.8572750302023775,-1.7880499681050177,46,1.58
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.028,-1.8572750302023775,-1.788244497456514,38,1.3
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.029,-1.8572750302023775,-1.7770908660076468,39,1.37
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.03,-1.8572750302023775,-1.7889291752458059,42,1.45
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.031,-1.8572750302023775,-1.7882361513066654,74,2.52
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.032,-1.8572750302023775,-1.769941653962909,55,1.92
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.033,-1.8572750302023775,-1.7824056893185019,55,2.03
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.034,-1.8572750302023775,-1.7777553862384203,58,1.98
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.035,-1.8572750302023775,-1.7714131623883225,37,1.24
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.036000000000000004,-1.8572750302023775,-1.7708676651059982,51,1.8
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.037,-1.8572750302023775,-1.7689481298098149,43,1.61
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.038,-1.8572750302023775,-1.7647927909375603,86,2.98
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.039,-1.8572750302023775,-1.764836186410374,44,1.6
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.04,-1.8572750302023775,-1.7652375511569456,55,1.91
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.041,-1.8572750302023775,-1.7523073342923319,53,1.82
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.042,-1.8572750302023775,-1.7570918288536492,50,1.7
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.043000000000000003,-1.8572750302023775,-1.7553907004381326,49,1.71
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.044,-1.8572750302023775,-1.7467212813238184,42,1.44
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.045,-1.8572750302023775,-1.7508831037744566,45,1.53
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.046,-1.8572750302023775,-1.74852270148524,42,1.5
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.047,-1.8572750302023775,-1.7358634693437132,53,1.84
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.048,-1.8572750302023775,-1.741565793990954,40,1.37
H2_2_Qubits,TwoLocal,1,COBYLA,depolarizing,0.049,-1.8572750302023775,-1.7427823256064492,56,2.04
