Molekuel,Ansatz_Art,Ansatz_Tiefe,Optimierer,Fehler_Art,Fehler_Rate,Exakte_Energie_Hartree,Berechnete_Energie_Hartree,Optimierer_Schritte,Dauer_Sekunden
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,noiseless,0.0,-1.0900919314191353,-0.8695128049576697,215,434.99
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.005,-1.0900919314191353,-0.38711908024100616,207,635.61
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.007,-1.0900919314191353,-0.35475092444406725,211,656.49
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.001,-1.0900919314191353,-0.3876628568917161,214,664.0
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.006,-1.0900919314191353,-0.3647976344832846,214,670.76
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.003,-1.0900919314191353,-0.8238128671986331,223,678.7
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.008,-1.0900919314191353,-0.7049248302638309,220,689.25
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.002,-1.0900919314191353,-0.3600813542344268,222,731.77
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.004,-1.0900919314191353,-0.8741452691985732,271,816.77
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.009000000000000001,-1.0900919314191353,-0.7084196411448922,230,699.47
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.012,-1.0900919314191353,-0.6751297904708261,182,547.97
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.013000000000000001,-1.0900919314191353,-0.2268419641703751,197,604.28
LiH_Reduced_8_Qubits,TwoLocal,1,COBYLA,depolarizing,0.015,-1.0900919314191353,-0.290503533243657,196,601.1
